5214,1,1
5214,4,1
5214,6,1
5214,12,1
5214,86,1
5214,87,1
5214,88,40
5214,90,1
5214,91,15
5214,92,1
5214,96,1
5214,99,1
5214,237,2
5214,262,1
5214,282,1
5214,309,1
5214,453,6
5214,520,1
5214,556,1
5214,642,1
5214,1143,1
5214,1148,2
5214,1271,1
5214,1316,1
5214,1317,1
5214,1318,1
5214,1323,1
5214,1327,2
5214,1328,2
5214,1358,1
5214,1359,1
5214,1369,1
5214,1370,1
5214,1502,1
5214,1522,1
5214,2590,1
5214,2642,2
5214,3428,1
5214,5841,1
5214,6390,1
5214,8752,1
5214,9279,1
5214,11790,1
5214,11809,1
5214,11832,1
5214,11833,1
5214,12043,1
5214,12077,1
5214,12205,1
5214,12210,1
5214,13125,1
5214,13128,1
5214,13947,1
5214,14210,1
5214,14504,1
5214,14724,1
5214,15387,1
5214,15563,1
5214,17946,2
5214,24284,1
5214,24285,1
5214,24587,1
5214,27845,1
5214,27884,1
5214,28183,1
5214,34564,1
5214,37994,1
5214,37995,1
6757,1,1
6757,86,1
6757,88,2
6757,89,1
6757,91,2
6757,95,1
6757,96,1
6757,99,1
6757,225,2
6757,492,1
6757,526,1
6757,546,1
6757,569,1
6757,690,2
6757,691,2
6757,1079,1
6757,1106,1
6757,1107,1
6757,1205,1
6757,1248,1
6757,1259,1
6757,1290,1
6757,1447,1
6757,1495,1
6757,1607,1
6757,1666,3
6757,2725,1
6757,3061,2
6757,3259,1
6757,3298,1
6757,7624,2
6757,8988,1
6757,11723,1
6757,17540,1
6757,18954,2
6757,36208,1
6757,45485,1
6757,49269,2
6757,49270,1
6757,49271,1
7988,1,1
7988,86,1
7988,88,1
7988,91,1
7988,99,1
7988,112,2
7988,119,3
7988,262,1
7988,263,2
7988,614,1
7988,690,1
7988,691,2
7988,706,1
7988,743,1
7988,765,1
7988,842,1
7988,1088,1
7988,1600,1
7988,2239,5
7988,2396,1
7988,3083,2
7988,3455,10
7988,3729,2
7988,4376,2
7988,7164,2
7988,13950,1
7988,14794,1
7988,15849,2
7988,38357,2
7988,39863,2
7988,53511,2
7988,54332,2
7988,54333,1
7988,54334,2
7988,54335,2
7988,54336,1
7988,54337,2
7988,54338,1
7988,54339,2
7988,54340,1
7988,54341,2
7988,54342,1
7988,54343,2
7988,54344,1
7988,54345,1
7988,54346,2
7988,54347,2
7988,54349,2
7988,54350,1
7988,54351,1
7988,54352,1
7988,54353,2
7988,54522,2
7988,54523,2
7988,54524,1
7988,54525,2
7988,54526,2
7988,55035,1
7988,55036,1
7988,55037,1
10492,1,1
10492,10,1
10492,12,1
10492,19,1
10492,52,3
10492,54,1
10492,67,11
10492,86,1
10492,112,3
10492,136,1
10492,146,3
10492,169,1
10492,184,1
10492,188,2
10492,254,1
10492,256,2
10492,257,1
10492,266,3
10492,267,2
10492,274,1
10492,284,2
10492,288,2
10492,295,1
10492,300,1
10492,306,1
10492,311,3
10492,377,2
10492,380,3
10492,381,1
10492,388,1
10492,400,1
10492,404,7
10492,406,1
10492,436,1
10492,447,4
10492,465,1
10492,481,2
10492,490,1
10492,511,6
10492,520,1
10492,535,6
10492,555,2
10492,572,1
10492,574,2
10492,581,1
10492,585,1
10492,602,2
10492,605,1
10492,648,1
10492,650,1
10492,659,1
10492,660,5
10492,669,2
10492,676,7
10492,698,2
10492,708,3
10492,739,1
10492,744,1
10492,750,1
10492,751,1
10492,766,2
10492,789,1
10492,799,1
10492,826,2
10492,831,1
10492,891,3
10492,929,2
10492,974,3
10492,1046,4
10492,1100,3
10492,1125,2
10492,1134,1
10492,1138,4
10492,1156,1
10492,1157,1
10492,1173,1
10492,1186,1
10492,1232,1
10492,1243,1
10492,1262,1
10492,1271,2
10492,1287,1
10492,1313,1
10492,1318,1
10492,1362,1
10492,1393,1
10492,1403,1
10492,1447,2
10492,1461,1
10492,1514,1
10492,1519,1
10492,1537,1
10492,1566,2
10492,1601,1
10492,1618,1
10492,1644,1
10492,1650,4
10492,1659,3
10492,1726,2
10492,1924,1
10492,1944,1
10492,1986,1
10492,2014,1
10492,2035,1
10492,2041,3
10492,2043,1
10492,2082,1
10492,2099,1
10492,2147,5
10492,2175,9
10492,2269,1
10492,2383,2
10492,2398,1
10492,2475,1
10492,2479,1
10492,2500,1
10492,2546,1
10492,2604,2
10492,2626,1
10492,2628,1
10492,2673,1
10492,2678,5
10492,2709,1
10492,2798,1
10492,2865,1
10492,2976,1
10492,2977,1
10492,2982,1
10492,2987,1
10492,3003,2
10492,3005,2
10492,3182,1
10492,3254,1
10492,3392,3
10492,3863,1
10492,3907,1
10492,3908,1
10492,3921,1
10492,3929,1
10492,3933,1
10492,4025,1
10492,4071,1
10492,4074,1
10492,4090,1
10492,4266,1
10492,4353,1
10492,4557,1
10492,4649,1
10492,4809,1
10492,5231,1
10492,5976,1
10492,6241,1
10492,7180,2
10492,7226,1
10492,7323,1
10492,7496,1
10492,7844,1
10492,8043,1
10492,9039,1
10492,9054,2
10492,10502,1
10492,11988,1
10492,12058,1
10492,12364,1
10492,12796,1
10492,13537,11
10492,13765,1
10492,13883,1
10492,14148,1
10492,14267,1
10492,14483,1
10492,15301,3
10492,15430,1
10492,15744,1
10492,15745,2
10492,16386,1
10492,16433,1
10492,17918,3
10492,18064,1
10492,18348,1
